project_id,doc_era,pdf_url,doc_type_found,doc_title,found
P009672,SAR,http://documents.worldbank.org/curated/en/181401468258255462/pdf/multi-page.pdf,Staff Appraisal Report,India - Mysore Agricultural Wholesale Markets Project,TRUE
P009787,SAR,http://documents.worldbank.org/curated/en/121401468042924770/pdf/multi-page.pdf,Staff Appraisal Report,India - Andhra Pradesh Agricultural Extension Project,TRUE
P009734,SAR,http://documents.worldbank.org/curated/en/585711468035415961/pdf/multi-page.pdf,Staff Appraisal Report,India - Second National Seed Project,TRUE
P009673,SAR,http://documents.worldbank.org/curated/en/147191468033852691/pdf/multi-page.pdf,Staff Appraisal Report,India - Fifth Telecommunications Project,TRUE
P009742,SAR,http://documents.worldbank.org/curated/en/289341468268526132/pdf/multi-page.pdf,Staff Appraisal Report,India - National Cooperative Development (NCDC) Project,TRUE
P009848,SAR,http://documents.worldbank.org/curated/en/488031468260109584/pdf/multi-page.pdf,Staff Appraisal Report,India - National Social Forestry Project,TRUE
P009900,SAR,http://documents.worldbank.org/curated/en/993791468285314898/pdf/multi-page.pdf,Staff Appraisal Report,India - Private Power Utilities : (Tata Electric Companies TEC),TRUE
P009947,SAR,http://documents.worldbank.org/curated/en/402021468269138744/pdf/multi-page.pdf,Staff Appraisal Report,India - Combined Cycle Power Project,TRUE
P009816,SAR,http://documents.worldbank.org/curated/en/675941468042923732/pdf/multi-page.pdf,Staff Appraisal Report,India - Second Orissa Irrigation Project,TRUE
P009757,SAR,http://documents.worldbank.org/curated/en/640761468292307032/pdf/multi-page.pdf,Staff Appraisal Report,India - Inland Fisheries Project,TRUE
P009766,SAR,http://documents.worldbank.org/curated/en/433381468258266562/pdf/multi-page.pdf,Staff Appraisal Report,India - Second Population Project,TRUE
P009806,SAR,http://documents.worldbank.org/curated/en/104191468033561953/pdf/multi-page.pdf,Staff Appraisal Report,India - Central Power Transmission Project,TRUE
P009834,SAR,http://documents.worldbank.org/curated/en/229591468260644438/pdf/multi-page.pdf,Staff Appraisal Report,India - Kerala Social Forestry Project,TRUE
P009773,SAR,http://documents.worldbank.org/curated/en/132971468033536563/pdf/multi-page.pdf,Staff Appraisal Report,India - Karnataka Tanks Irrigation Project,TRUE
P009764,SAR,http://documents.worldbank.org/curated/en/521701468268844058/pdf/multi-page.pdf,Staff Appraisal Report,India - Thirteenth Industrial Credit and Investment Corporation Project,TRUE
P009663,SAR,NA,NA,NA,FALSE
P009809,SAR,http://documents.worldbank.org/curated/en/594121468269376176/pdf/multi-page.pdf,Staff Appraisal Report,India - Madhya Pradesh Urban Development Project,TRUE
P009796,SAR,http://documents.worldbank.org/curated/en/563821468260105984/pdf/multi-page.pdf,Staff Appraisal Report,India - Subernarekha Irrigation Project,TRUE
P009653,SAR,http://documents.worldbank.org/curated/en/740731468267632549/pdf/multi-page.pdf,Staff Appraisal Report,India - Andhra Pradesh Agricultural Credit Project,TRUE
P009837,SAR,http://documents.worldbank.org/curated/en/195441468043737576/pdf/multi-page.pdf,Staff Appraisal Report,India - Jharia Coking Coal Project,TRUE
